global_pair_index,index_G,index_H,g6_G,g6_H,n_G,n_H,gamma_t_cartesian,gamma_direct,slack,cartesian_set,direct_set,cartesian_nodes_searched,direct_nodes_searched,direct_components
216,1,75,BW,EEhW,3,6,5,4,1,16;4;10;13;15,16;17;4;5,7,7,1
217,1,76,BW,EEh_,3,6,6,6,0,12;13;14;15;16;17,15;16;17;12;13;14,19,38,2
218,1,77,BW,EEho,3,6,5,5,0,3;14;9;16;15,15;17;16;3;14,10,28,1
219,1,78,BW,EEhw,3,6,5,4,1,3;14;9;15;16,15;17;5;12,18,18,1
220,1,79,BW,EEiW,3,6,5,5,0,15;16;3;14;9,15;16;3;14;12,7,14,1
221,1,80,BW,EEio,3,6,5,5,0,15;3;9;14;16,15;17;3;14;16,6,15,1
222,1,81,BW,EEjW,3,6,5,4,1,16;4;10;13;15,16;17;4;5,7,7,1
223,1,82,BW,EEj_,3,6,6,4,2,5;11;12;0;6;17,17;0;12;5,28,6,2
224,1,83,BW,EEjo,3,6,5,4,1,5;11;17;16;12,17;0;12;5,11,7,1
225,1,84,BW,EEjw,3,6,3,3,0,5;17;11,17;5;12,4,8,1
226,1,85,BW,EElw,3,6,5,4,1,3;9;15;14;16,15;4;16;3,28,19,1
227,1,86,BW,EEno,3,6,5,4,1,3;11;4;17;9,15;5;17;16,18,16,1
228,1,87,BW,EEnw,3,6,3,3,0,5;17;11,17;5;15,4,8,1
229,1,88,BW,EEr_,3,6,6,4,2,17;5;11;12;0;6,17;0;12;5,12,7,2
230,1,89,BW,EEro,3,6,5,4,1,17;5;11;16;12,17;0;12;5,11,7,1
231,1,90,BW,EErw,3,6,3,3,0,17;5;11,17;5;12,4,6,1
232,1,91,BW,EEuw,3,6,5,4,1,17;5;11;13;15,17;3;15;5,8,7,1
233,1,92,BW,EEvo,3,6,5,4,1,17;5;11;16;15,17;3;15;5,11,7,1
234,1,93,BW,EEvw,3,6,3,3,0,17;5;11,17;5;15,4,6,1
235,1,94,BW,EEzO,3,6,5,4,1,16;4;10;15;17,16;4;12;0,10,7,1
236,1,95,BW,EEz_,3,6,6,4,2,4;11;12;0;7;16,16;0;12;4,25,6,2
237,1,96,BW,EEzg,3,6,5,4,1,4;10;16;15;12,16;0;12;4,15,7,1
238,1,97,BW,EEzo,3,6,5,4,1,5;11;12;16;17,17;0;12;5,21,15,1
239,1,98,BW,EEzw,3,6,3,3,0,5;17;11,17;5;16,4,8,1
240,1,99,BW,EE~w,3,6,3,3,0,4;16;10,16;4;17,4,8,1
241,1,100,BW,EFzW,3,6,4,4,0,3;10;15;16,15;5;17;3,9,18,1
242,1,101,BW,EFz_,3,6,6,4,2,12;13;14;15;16;17,15;0;12;3,46,14,2
243,1,102,BW,EFzo,3,6,5,4,1,3;16;15;9;12,15;0;12;3,56,23,1
244,1,103,BW,EFzw,3,6,3,3,0,5;17;11,17;5;15,4,9,1
245,1,104,BW,EF~w,3,6,3,3,0,3;15;9,15;3;16,4,9,1
246,1,105,BW,EQjO,3,6,5,4,1,5;14;16;17;11,17;12;5;0,11,6,1
247,1,106,BW,EQj_,3,6,5,5,0,13;15;0;12;6,13;17;1;0;12,10,16,1
248,1,107,BW,EQjg,3,6,5,4,1,13;15;12;0;6,13;17;1;5,13,11,1
249,1,108,BW,EQjo,3,6,5,4,1,5;11;17;16;12,17;0;12;5,14,7,1
250,1,109,BW,EQjw,3,6,3,3,0,5;17;11,17;5;12,4,8,1
251,1,110,BW,EQyw,3,6,5,4,1,4;10;17;15;16,16;5;17;4,20,14,1
252,1,111,BW,EQzO,3,6,5,4,1,0;15;6;12;13,12;17;0;5,12,6,1
253,1,112,BW,EQzW,3,6,5,4,1,4;10;16;15;17,16;5;17;4,14,7,1
254,1,113,BW,EQzg,3,6,5,4,1,13;1;7;12;14,13;1;16;4,10,7,1
255,1,114,BW,EQzo,3,6,5,4,1,5;11;17;16;12,17;0;12;5,23,20,1
256,1,115,BW,EQzw,3,6,3,3,0,5;17;11,17;5;16,4,8,1
257,1,116,BW,EQ~o,3,6,4,4,0,4;11;16;17,16;0;12;4,10,29,1
258,1,117,BW,EQ~w,3,6,3,3,0,4;16;10,16;4;17,4,9,1
259,1,118,BW,ETno,3,6,5,4,1,17;5;11;16;12,17;5;12;16,11,7,1
260,1,119,BW,ETnw,3,6,3,3,0,17;5;11,17;5;12,4,6,1
261,1,120,BW,ETzg,3,6,5,4,1,4;10;16;15;12,16;0;12;4,18,7,1
262,1,121,BW,ETzo,3,6,5,4,1,5;11;12;16;17,17;0;12;5,17,16,1
263,1,122,BW,ETzw,3,6,3,3,0,5;17;11,17;5;12,4,8,1
264,1,123,BW,ET~w,3,6,3,3,0,4;16;10,16;4;17,4,8,1
265,1,124,BW,EUZO,3,6,5,5,0,0;16;6;13;12,12;14;3;15;16,15,45,1
266,1,125,BW,EUZ_,3,6,5,4,1,0;16;6;13;12,13;17;0;2,14,22,1
267,1,126,BW,EUZo,3,6,5,4,1,1;8;5;6;13,13;17;5;16,19,18,1
268,1,127,BW,EUZw,3,6,3,3,0,5;17;11,17;5;12,4,9,1
269,1,128,BW,EUxo,3,6,5,4,1,12;5;16;17;11,14;17;2;5,20,25,1
270,1,129,BW,EUzW,3,6,5,4,1,0;10;12;4;7,12;4;16;15,25,19,1
271,1,130,BW,EUzo,3,6,5,4,1,5;16;17;11;12,17;0;12;13,47,27,1
272,1,131,BW,EUzw,3,6,3,3,0,5;17;11,17;5;12,4,9,1
273,1,132,BW,EU~w,3,6,3,3,0,4;16;10,16;4;17,4,9,1
274,1,133,BW,EV~w,3,6,3,3,0,3;15;9,15;3;16,4,9,1
275,1,134,BW,E]yw,3,6,5,4,1,2;15;14;8;12,14;0;12;13,61,25,1
276,1,135,BW,E]zg,3,6,4,4,0,0;7;12;13,12;2;14;0,9,20,1
