graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
KE~{A?_C?O?_,12,17,6,1,0,0,6,63,6,63,6,2016,6,63,7,16,3008,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KFz[A?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1764,6,63,8,8,3536,6,63,0-3;1-5;2-4,6,1764,6,3,4032,0-3;1-5;2-4,0,-3
KFzcA?_C?O?_,12,15,4,1,0,0,6,63,6,63,6,504,6,63,8,9,3456,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
KFzsA?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1008,6,63,8,8,3536,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KFz{A?_C?O?_,12,17,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KF~{A?_C?O?_,12,18,6,1,0,0,6,63,6,63,6,2016,6,63,7,8,3520,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KQjSA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-5;1-3;2-4,6,1008,6,3,4032,0-5;1-3;2-4,0,-3
KQjcA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,504,6,63,8,3,3840,6,63,0-4;1-3;2-5,6,504,6,3,4032,0-4;1-3;2-5,0,-3
KQjkA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1512,6,63,8,3,3840,6,63,0-2;1-3;4-5,6,1512,6,3,4032,0-2;1-3;4-5,0,-3
KQjsA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-4;1-3;2-5,6,1008,6,3,4032,0-4;1-3;2-5,0,-3
KQj{A?_C?O?_,12,15,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
KQy{A?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1890,6,63,8,3,3840,6,63,0-2;1-3;4-5,6,1890,6,3,4032,0-2;1-3;4-5,0,-3
